product_id|label|value|value_min|value_max|unit|type
1000179|Spécification électrique|DC||||SIMPLE
1000179|Applications|industriel||||SIMPLE
1000179|Puissance kVA|||||SIMPLE
1000180|Technologie|off-line||||SIMPLE
1000180|Applications|industriel||||SIMPLE
1000181|Technologie|off-line||||SIMPLE
1000181|Spécification électrique|DC||||SIMPLE
1000181|Applications|pour batterie||||SIMPLE
1000181|Autre caractéristique|sur rail DIN||||SIMPLE
1000181|Tension|24|||V|SIMPLE
1000182|Type|lithium fer phosphate||||SIMPLE
1000182|Forme|modulaire||||SIMPLE
1000182|Autres caractéristiques|sans entretien||||SIMPLE
1000182|Tension|48|||V|SIMPLE
1000183|Type|plomb||||SIMPLE
1000183|Forme|de bloc||||SIMPLE
1000183|Tension|24|||V|SIMPLE
1000184|Type|plomb||||SIMPLE
1000184|Forme|de bloc||||SIMPLE
1000185|Type|plomb||||SIMPLE
1000185|Forme|de bloc||||SIMPLE
1000186|Type|plomb||||SIMPLE
1000186|Forme|de bloc||||SIMPLE
1000187|Spécifications|sur rail DIN,AC/DC,modulaire,||||LIST
1000190|Type de relais|électromécanique||||SIMPLE
1000190|Autres caractéristiques|pour circuit imprimé||||SIMPLE
1000191|Type de relais|électromécanique||||SIMPLE
1000191|Autres caractéristiques|pour circuit imprimé||||SIMPLE
1000192|Type de relais|électromécanique||||SIMPLE
1000192|Autres caractéristiques|pour circuit imprimé||||SIMPLE
1000193|Type de relais|électromécanique||||SIMPLE
1000193|Autres caractéristiques|pour circuit imprimé||||SIMPLE
1000194|Type de relais|électromécanique||||SIMPLE
1000194|Autres caractéristiques|miniature||||SIMPLE
1000195|Type de relais|électromécanique||||SIMPLE
1000196|Type|numérique||||SIMPLE
1000196|Spécification électrique|contre les courts-circuits||||SIMPLE
1000196|Mode de fonctionnement|modulaire||||SIMPLE
1000196|Autres caractéristiques|miniature||||SIMPLE
1000196|Applications|pour l'électronique||||SIMPLE
1000196|Courant||1|8|A|MIN_MAX
1000196|VDC|24|||V|SIMPLE
1000197|Type|numérique||||SIMPLE
1000197|Spécification électrique|contre les courts-circuits,pour surcharge,contre les surintensités,haute densité,||||LIST
1000197|Mode de fonctionnement|modulaire||||SIMPLE
1000197|Autres caractéristiques|compact||||SIMPLE
1000197|Courant||0.5|12|A|MIN_MAX
1000197|VDC|24|||V|SIMPLE
1000198|Type|magnéto-thermique||||SIMPLE
1000198|Mode de fonctionnement|modulaire||||SIMPLE
1000198|Courant||0|1,600|A|MIN_MAX
1000199|Mode de fonctionnement|modulaire||||SIMPLE
1000199|Autres caractéristiques|à boîtier moulé||||SIMPLE
1000199|Applications|de protection moteur||||SIMPLE
1000199|Courant||0.1|25|A|MIN_MAX
1000200|Type|de type 1,de type 2,de type 3,||||LIST
1000200|Autres caractéristiques|à varistance,triphasé,monophasé,||||LIST
1000200|Courant|12,500,|||A|SIMPLE
1000200|Tension|230,400,|||V|LIST
1000201|Type|de type 1,de type 2,de type 3,||||LIST
1000201|Autres caractéristiques|à varistance,triphasé,monophasé,||||LIST
1000201|Courant|12,500,|||A|SIMPLE
1000201|Tension|230,400,|||V|LIST
1000202|Type|de type 1,de type 2,de type 3,||||LIST
1000202|Autres caractéristiques|à varistance,triphasé,monophasé,||||LIST
1000202|Courant|12,500,|||A|SIMPLE
1000202|Tension|230,400,|||V|LIST
1000203|Type|de type 1,de type 2,de type 3,||||LIST
1000203|Autres caractéristiques|à varistance,triphasé,monophasé,||||LIST
1000203|Courant|100,000,|||A|SIMPLE
1000203|Tension|230,400,|||V|LIST
1000209|Technologie|à piston||||SIMPLE
1000210|Technologie|à membrane||||SIMPLE
1000210|Autres caractéristiques|hydropneumatique||||SIMPLE
1000141|Type|numérique||||SIMPLE
1000141|Spécification électrique|contre les courts-circuits||||SIMPLE
1000141|Mode de fonctionnement|modulaire||||SIMPLE
1000141|Autres caractéristiques|miniature||||SIMPLE
1000141|Applications|pour l'électronique||||SIMPLE
1000141|Courant||1|8|A|MIN_MAX
1000141|VDC|24|||V|SIMPLE
1000142|Type|numérique||||SIMPLE
1000142|Spécification électrique|contre les courts-circuits,pour surcharge,contre les surintensités,haute densité,||||LIST
1000142|Mode de fonctionnement|modulaire||||SIMPLE
1000142|Autres caractéristiques|compact||||SIMPLE
1000142|Courant||0.5|12|A|MIN_MAX
1000142|VDC|24|||V|SIMPLE
1000143|Type|magnéto-thermique||||SIMPLE
1000143|Mode de fonctionnement|modulaire||||SIMPLE
1000143|Courant||0|1,600|A|MIN_MAX
1000144|Mode de fonctionnement|modulaire||||SIMPLE
1000144|Autres caractéristiques|à boîtier moulé||||SIMPLE
1000144|Applications|de protection moteur||||SIMPLE
1000144|Courant||0.1|25|A|MIN_MAX
1000145|Type|AC/DC||||SIMPLE
1000145|Autres caractéristiques|sur rail DIN,à découpage,CE,||||LIST
1000145|Tension d'entrée|85,264,|||V|LIST
1000145|Tension de sortie|24|||V|SIMPLE
1000145|Courant|5|||A|SIMPLE
1000146|Type|AC/DC||||SIMPLE
1000146|Autres caractéristiques|sur rail DIN,à découpage,CE,||||LIST
1000146|Tension d'entrée|85,264,|||V|LIST
1000146|Tension de sortie|24|||V|SIMPLE
1000146|Courant|10|||A|SIMPLE
1000147|Type|AC/DC||||SIMPLE
1000147|Sortie|à sortie simple||||SIMPLE
1000147|Autres caractéristiques|sur rail DIN,monophasée,à découpage,CE,||||LIST
1000147|Tension d'entrée|93,264,|||V|LIST
1000147|Tension de sortie|24|||V|SIMPLE
1000148|Type|AC/DC||||SIMPLE
1000148|Autres caractéristiques|CE,sur rail DIN,monophasée,pour applications industrielles,à découpage,||||LIST
1000148|Tension d'entrée|93,264,|||V|LIST
1000148|Tension de sortie|24|||V|SIMPLE
1000149|Type|AC/DC||||SIMPLE
1000149|Autres caractéristiques|pour applications industrielles,sur rail DIN,monophasée,CE,||||LIST
1000149|Tension d'entrée|264,93,|||V|LIST
1000149|Tension de sortie|24|||V|SIMPLE
1000150|Type|AC/DC||||SIMPLE
1000150|Autres caractéristiques|rackable,numérique,||||LIST
1000151|Type|AC/DC||||SIMPLE
1000151|Sortie|à sortie simple||||SIMPLE
1000151|Autres caractéristiques|châssis fermé,haute puissance,à découpage,||||LIST
1000152|Type|AC/DC||||SIMPLE
1000152|Autres caractéristiques|châssis fermé,haute puissance,à découpage,||||LIST
1000153|Type|AC/DC||||SIMPLE
1000153|Sortie|à deux sorties||||SIMPLE
1000153|Autres caractéristiques|à découpage||||SIMPLE
1000153|Puissance||12|130|W|MIN_MAX
1000153|Tension d'entrée||110|240|V|MIN_MAX
1000153|Tension de sortie|12,24,|||V|LIST
1000154|Type|AC/DC||||SIMPLE
1000154|Sortie|régulée||||SIMPLE
1000154|Autres caractéristiques|châssis fermé,modulaire,avec protection contre les courts-circuits,à découpage,||||LIST
1000154|Puissance|25|||W|SIMPLE
1000154|Tension d'entrée||100|240|V|MIN_MAX
1000154|Tension de sortie|12|||V|SIMPLE
1000154|Courant|2.1|||A|SIMPLE
1000155|Type|AC/DC||||SIMPLE
1000155|Sortie|ajustable||||SIMPLE
1000155|Autres caractéristiques|pour applications industrielles,compacte,modulaire,sur rail DIN,encastrable,monophasée,à découpage,||||LIST
1000155|Puissance||30|100|W|MIN_MAX
1000155|Tension d'entrée||85|264|V|MIN_MAX
