product_id|label|value|value_min|value_max|unit|type
1000166|Spécification électrique|à sinus modifié||||SIMPLE
1000166|Applications|pour applications solaires||||SIMPLE
1000166|Puissance||100,000|500,000|W|MIN_MAX
1000167|Technologie|hors réseau||||SIMPLE
1000167|Spécification électrique|à sinus modifié||||SIMPLE
1000167|Applications|pour applications industrielles,pour applications nucléaires,||||LIST
1000167|Tension|230,380,220,240,400,|||V|LIST
1000167|Puissance kVA||5|200|kVA|MIN_MAX
1000168|Technologie|hors réseau||||SIMPLE
1000168|Spécification électrique|sinusoïdal||||SIMPLE
1000168|Applications|pour applications professionnelle,pour applications mobiles,||||LIST
1000168|Autres caractéristiques|compact||||SIMPLE
1000168|Puissance||100|2,500|W|MIN_MAX
1000168|Tension|110,230,|||V|LIST
1000169|Technologie|hors réseau||||SIMPLE
1000169|Spécification électrique|pur sinus||||SIMPLE
1000169|Applications|pour applications industrielles||||SIMPLE
1000169|Puissance||200|3,000|W|MIN_MAX
1000170|Type|d'harmonique||||SIMPLE
1000170|Autres caractéristiques|actif||||SIMPLE
1000171|Technologie|parallèle||||SIMPLE
1000171|Spécification électrique|triphasé||||SIMPLE
1000171|Applications|industriel,pour environnement difficile,pour applications lourdes,||||LIST
1000171|Tension|240|||V|SIMPLE
1000171|Puissance kVA||10|100|kVA|MIN_MAX
1000172|Technologie|parallèle||||SIMPLE
1000172|Spécification électrique|monophasé||||SIMPLE
1000172|Applications|pour applications nucléaires||||SIMPLE
1000172|Tension||220|415|V|MIN_MAX
1000172|Puissance kVA||5|200|kVA|MIN_MAX
1000173|Technologie|parallèle||||SIMPLE
1000173|Spécification électrique|triphasé||||SIMPLE
1000173|Applications|pour applications nucléaires||||SIMPLE
1000173|Tension||220|415|V|MIN_MAX
1000173|Puissance kVA||5|220|kVA|MIN_MAX
1000174|Technologie|parallèle||||SIMPLE
1000174|Applications|industriel||||SIMPLE
1000174|Autre caractéristique|avec compensation du facteur de puissance (PFC)||||SIMPLE
1000175|Technologie|off-line||||SIMPLE
1000175|Spécification électrique|monophasé||||SIMPLE
1000175|Applications|pour point de vente,pour salle serveur,réseau,||||LIST
1000175|Autre caractéristique|pur sinus,rack 19"",redondant,||||LIST
1000175|Puissance||100|230|W|MIN_MAX
1000175|Puissance kVA||0.5|5|kVA|MIN_MAX
1000211|Technologie|à vessie||||SIMPLE
1000212|Fluide|à air,à eau,||||LIST
1000212|Élément filtrant|à cartouche||||SIMPLE
1000212|Autre caractéristique|en T,en acier inoxydable,en laiton,||||LIST
1000212|Taille de filtration||1|450|µm|MIN_MAX
1000212|Pression de fonctionnement|134,120,79,69,,943.506,|||psi)|LIST
1000213|Fluide|hydraulique||||SIMPLE
1000213|Élément filtrant|à cartouche||||SIMPLE
1000213|Autre caractéristique|écologique,haute pression,||||LIST
1000213|Taille de filtration|20,5,10,2,|||µm|LIST
1000213|Pression de fonctionnement||0|450|bar|MIN_MAX
1000213|Débit||0|700|l/min|MIN_MAX
1000214|Fluide|hydraulique||||SIMPLE
1000214|Élément filtrant|à cartouche||||SIMPLE
1000214|Autre caractéristique|semi-immergé,basse pression,retour,magnétique,bypass,||||LIST
1000214|Taille de filtration|2,10,20,5,|||µm|LIST
1000214|Pression de fonctionnement||0|Max: 1,000,000 Pa (145.038 psi)|Pa|MIN_MAX
1000214|Débit||0|500|l/min|MIN_MAX
1000215|Fluide|hydraulique||||SIMPLE
1000215|Élément filtrant|à cartouche||||SIMPLE
1000215|Autre caractéristique|compact,moyenne pression,||||LIST
1000215|Taille de filtration|10,5,20,2,|||µm|LIST
1000215|Pression de fonctionnement||0|70|bar|MIN_MAX
1000215|Débit||0|600|l/min|MIN_MAX
1000216|Fluide|hydraulique||||SIMPLE
1000216|Élément filtrant|à cartouche||||SIMPLE
1000216|Autre caractéristique|moyenne pression,en aluminium,||||LIST
1000216|Pression de fonctionnement||0|70|bar|MIN_MAX
1000216|Débit||0|0.01|m³/s|MIN_MAX
1000217|Fluide|à air comprimé||||SIMPLE
1000217|Élément filtrant|à panier||||SIMPLE
1000217|Autre caractéristique|modulaire,automatique,||||LIST
1000217|Taille de filtration|5,40,|||µm|LIST
1000217|Pression de fonctionnement||0|20|bar|MIN_MAX
1000217|Débit||1,000|16,000|l/min|MIN_MAX
1000218|Fluide|à air comprimé||||SIMPLE
1000218|Élément filtrant|à panier||||SIMPLE
1000218|Autre caractéristique|automatique,filtration fine,||||LIST
1000218|Taille de filtration||0.01|1|µm|MIN_MAX
1000218|Pression de fonctionnement||0|20|bar|MIN_MAX
1000218|Débit||54|23,000|l/min|MIN_MAX
1000219|Fluide|à air comprimé||||SIMPLE
1000219|Élément filtrant|au charbon actif||||SIMPLE
1000219|Taille de filtration|0.01|||µm|SIMPLE
1000219|Pression de fonctionnement||0|20|bar|MIN_MAX
1000219|Débit||250|7,090|l/min|MIN_MAX
1000220|Fluide|à air,à eau,||||LIST
1000220|Élément filtrant|à cartouche||||SIMPLE
1000220|Autre caractéristique|en T,en acier inoxydable,en laiton,||||LIST
1000220|Taille de filtration||1|450|µm|MIN_MAX
1000220|Pression de fonctionnement|134,120,79,69,,943.506,|||psi)|LIST
1000221|Fluide|à air||||SIMPLE
1000221|Autre caractéristique|écologique,à particules,||||LIST
1000221|Pression de fonctionnement|||||SIMPLE
1000221|Débit||0|2,000|l/min|MIN_MAX
1000222|Fluide|à air||||SIMPLE
1000222|Autre caractéristique|à grande capacité,à visser,à particules,||||LIST
1000222|Taille de filtration|3,5,|||µm|LIST
1000222|Pression de fonctionnement|0.35,0.7,|||bar|LIST
1000222|Débit|3,000,|||l/min|SIMPLE
1000223|Fluide|à air||||SIMPLE
1000223|Élément filtrant|à panier simple||||SIMPLE
1000223|Autre caractéristique|de grande capacité,haute performance,pour moteur thermique,coalesceur,à particules,||||LIST
1000223|Débit||0|1,416|l/min|MIN_MAX
1000224|Fluide|à air||||SIMPLE
1000224|Élément filtrant|à cartouche||||SIMPLE
1000224|Autre caractéristique|jetable,industriel,pour moteur marin,pour moteur,||||LIST
1000225|Fluide|à air comprimé||||SIMPLE
1000225|Élément filtrant|à panier||||SIMPLE
1000225|Autre caractéristique|en T,haute performance,||||LIST
