product_id|label|value|value_min|value_max|unit|type
1000204|Tension de sortie|||||SIMPLE
1000204|Courant|4,950,1.9,8,2.8,|||A|LIST
1000205|Type|AC/DC||||SIMPLE
1000205|Sortie|régulée||||SIMPLE
1000205|Autres caractéristiques|à découpage||||SIMPLE
1000205|Puissance|960|||W|SIMPLE
1000205|Tension d'entrée||380|480|V|MIN_MAX
1000205|Tension de sortie||24|28|V|MIN_MAX
1000205|Courant|34.3,40,|||A|LIST
1000206|Type|AC/DC||||SIMPLE
1000206|Autres caractéristiques|sur rail DIN,à découpage,||||LIST
1000206|Puissance|240|||W|SIMPLE
1000206|Tension d'entrée||100|240|V|MIN_MAX
1000206|Tension de sortie||24|28|V|MIN_MAX
1000206|Courant|8.6,10,|||A|LIST
1000207|Type|AC/DC||||SIMPLE
1000207|Autres caractéristiques|sur rail DIN,à découpage,CE,||||LIST
1000207|Tension d'entrée|264,85,|||V|LIST
1000207|Tension de sortie|24|||V|SIMPLE
1000207|Courant|5|||A|SIMPLE
1000208|Type|AC/DC||||SIMPLE
1000208|Autres caractéristiques|sur rail DIN,à découpage,CE,||||LIST
1000208|Tension d'entrée|85,264,|||V|LIST
1000208|Tension de sortie|24|||V|SIMPLE
1000208|Courant|10|||A|SIMPLE
1000209|Type|AC/DC||||SIMPLE
1000209|Sortie|à sortie simple||||SIMPLE
1000209|Autres caractéristiques|sur rail DIN,monophasée,à découpage,CE,||||LIST
1000209|Tension d'entrée|264,93,|||V|LIST
1000209|Tension de sortie|24|||V|SIMPLE
1000210|Type|AC/DC||||SIMPLE
1000210|Autres caractéristiques|rackable,numérique,||||LIST
1000666|Fluide|à air comprimé||||SIMPLE
1000666|Élément filtrant|à panier||||SIMPLE
1000666|Autre caractéristique|modulaire,automatique,||||LIST
1000666|Taille de filtration|5,40,|||µm|LIST
1000666|Pression de fonctionnement||0|20|bar|MIN_MAX
1000666|Débit||1,000|16,000|l/min|MIN_MAX
1000667|Fluide|à air comprimé||||SIMPLE
1000667|Élément filtrant|à panier||||SIMPLE
1000667|Autre caractéristique|automatique,filtration fine,||||LIST
1000667|Taille de filtration||0.01|1|µm|MIN_MAX
1000667|Pression de fonctionnement||0|20|bar|MIN_MAX
1000667|Débit||54|23,000|l/min|MIN_MAX
1000668|Fluide|à air comprimé||||SIMPLE
1000668|Élément filtrant|au charbon actif||||SIMPLE
1000668|Taille de filtration|0.01|||µm|SIMPLE
1000668|Pression de fonctionnement||0|20|bar|MIN_MAX
1000668|Débit||250|7,090|l/min|MIN_MAX
1000669|Fluide|à air,à eau,||||LIST
1000669|Élément filtrant|à cartouche||||SIMPLE
1000669|Autre caractéristique|en T,en acier inoxydable,en laiton,||||LIST
1000669|Taille de filtration||1|450|µm|MIN_MAX
1000669|Pression de fonctionnement|79,69,134,155,,145.798,|||psi)|LIST
1000670|Fluide|à air||||SIMPLE
1000670|Autre caractéristique|écologique,à particules,||||LIST
1000670|Pression de fonctionnement|||||SIMPLE
1000670|Débit||0|2,000|l/min|MIN_MAX
1000671|Fluide|à air||||SIMPLE
1000671|Autre caractéristique|à grande capacité,à visser,à particules,||||LIST
1000671|Taille de filtration|5,3,|||µm|LIST
1000671|Pression de fonctionnement|0.7,0.35,|||bar|LIST
1000671|Débit|3,000,|||l/min|SIMPLE
1000672|Fluide|à air||||SIMPLE
1000672|Élément filtrant|en panneaux||||SIMPLE
1000672|Autre caractéristique|de process,HEPA,||||LIST
1000672|Pression de fonctionnement|||||SIMPLE
1000672|Débit||151|1,356|m³/h|MIN_MAX
1000673|Fluide|à air||||SIMPLE
1000673|Élément filtrant|à cartouche,à sac,||||LIST
1000673|Autre caractéristique|d'évent||||SIMPLE
1000673|Pression de fonctionnement|||||SIMPLE
1000673|Débit|2,000,|||m³/h|SIMPLE
1000674|Fluide|à air comprimé||||SIMPLE
1000674|Élément filtrant|à panier||||SIMPLE
1000674|Autre caractéristique|en T,haute performance,||||LIST
1000674|Pression de fonctionnement||0|20|bar|MIN_MAX
1000675|Fluide|à air comprimé||||SIMPLE
1000675|Élément filtrant|à panier||||SIMPLE
1000675|Autre caractéristique|haute performance||||SIMPLE
1000675|Taille de filtration||0.1|5|µm|MIN_MAX
1000675|Pression de fonctionnement||0|20|bar|MIN_MAX
1000675|Débit||36|2,232|m³/h|MIN_MAX
1000676|Fluide|à air comprimé||||SIMPLE
1000676|Élément filtrant|à panier||||SIMPLE
1000676|Autre caractéristique|à particules||||SIMPLE
1000676|Taille de filtration||0.01|40|µm|MIN_MAX
1000676|Pression de fonctionnement||0|16|bar|MIN_MAX
1000676|Débit||0.53|450|m³/min|MIN_MAX
1000677|Fluide|à air comprimé||||SIMPLE
1000677|Élément filtrant|à panier||||SIMPLE
1000677|Autre caractéristique|modulaire,automatique,||||LIST
1000677|Taille de filtration|5,40,|||µm|LIST
1000677|Pression de fonctionnement||0|20|bar|MIN_MAX
1000677|Débit||1,000|16,000|l/min|MIN_MAX
1000678|Fluide|à air comprimé||||SIMPLE
1000678|Élément filtrant|à panier||||SIMPLE
1000678|Autre caractéristique|automatique,filtration fine,||||LIST
1000678|Taille de filtration||0.01|1|µm|MIN_MAX
1000678|Pression de fonctionnement||0|20|bar|MIN_MAX
1000678|Débit||54|23,000|l/min|MIN_MAX
1000679|Fluide|à air comprimé||||SIMPLE
1000679|Élément filtrant|au charbon actif||||SIMPLE
1000679|Taille de filtration|0.01|||µm|SIMPLE
1000679|Pression de fonctionnement||0|20|bar|MIN_MAX
1000679|Débit||250|7,090|l/min|MIN_MAX
1000680|Fluide|hydraulique,à carburant,||||LIST
1000680|Élément filtrant|à cartouche||||SIMPLE
1000680|Autre caractéristique|en ligne,moyenne pression,en fonte,à montage à bride,||||LIST
1000680|Pression de fonctionnement||0|40|bar|MIN_MAX
1000680|Débit||0|350|l/min|MIN_MAX
1000681|Fluide|à air,à eau,||||LIST
1000681|Élément filtrant|à cartouche||||SIMPLE
1000681|Autre caractéristique|en T,en acier inoxydable,en laiton,||||LIST
1000681|Taille de filtration||1|450|µm|MIN_MAX
1000681|Pression de fonctionnement|79,69,134,155,,145.798,|||psi)|LIST
1000682|Fluide|hydraulique||||SIMPLE
1000682|Élément filtrant|à cartouche||||SIMPLE
1000682|Autre caractéristique|écologique,haute pression,||||LIST
1000682|Taille de filtration|10,5,2,20,|||µm|LIST
1000682|Pression de fonctionnement||0|450|bar|MIN_MAX
1000682|Débit||0|700|l/min|MIN_MAX
1000683|Fluide|hydraulique||||SIMPLE
1000683|Élément filtrant|à cartouche||||SIMPLE
1000683|Autre caractéristique|d'échappement,à gasoil,||||LIST
1000683|Taille de filtration|1|||µm|SIMPLE
1000683|Pression de fonctionnement|||||SIMPLE
1000683|Débit|||||SIMPLE
1000684|Fluide|hydraulique||||SIMPLE
1000684|Élément filtrant|à cartouche||||SIMPLE
1000684|Autre caractéristique|d'échappement,à gasoil,||||LIST
1000684|Taille de filtration|1|||µm|SIMPLE
1000684|Pression de fonctionnement|||||SIMPLE
1000684|Débit|||||SIMPLE
1000685|Fluide|hydraulique||||SIMPLE
1000685|Élément filtrant|à cartouche||||SIMPLE
1000685|Autre caractéristique|écologique,haute pression,||||LIST
1000685|Taille de filtration|10,5,2,20,|||µm|LIST
1000685|Pression de fonctionnement||0|450|bar|MIN_MAX
1000685|Débit||0|700|l/min|MIN_MAX
1000686|Fluide|hydraulique||||SIMPLE
1000686|Élément filtrant|à cartouche||||SIMPLE
