id|id_parent|level|index|name|url
40513|40500|03|13|Filtres électroniques passe-bas|http://www.directindustry.fr/cat/composants-electroniques/filtres-electroniques-passe-bas-AA-2219.html
40514|40500|03|14|Filtres électroniques passe-haut|http://www.directindustry.fr/cat/composants-electroniques/filtres-electroniques-passe-haut-AA-2247.html
40515|40500|03|15|Filtres électronique passe-bande|http://www.directindustry.fr/cat/composants-electroniques/filtres-electronique-passe-bande-AA-2255.html
40516|40500|03|16|Résonateurs|http://www.directindustry.fr/fabricant-industriel/resonateur-77350.html
40517|40500|03|17|Atténuateurs|http://www.directindustry.fr/fabricant-industriel/attenuateur-77424.html
40518|40500|03|18|Déphaseurs|http://www.directindustry.fr/fabricant-industriel/dephaseur-77643.html
40519|40500|03|19|Lignes à retard|http://www.directindustry.fr/fabricant-industriel/ligne-retard-77726.html
40520|40500|03|20|Isolateurs|http://www.directindustry.fr/fabricant-industriel/isolateur-64685.html
40521|40500|03|21|Générateurs d'horloge|http://www.directindustry.fr/fabricant-industriel/generateur-horloge-77578.html
40522|40500|03|22|Diodes|http://www.directindustry.fr/fabricant-industriel/diode-68291.html
40523|40500|03|23|Transistors|http://www.directindustry.fr/fabricant-industriel/transistor-77321.html
40524|40500|03|24|Drivers de grille|http://www.directindustry.fr/fabricant-industriel/driver-grille-96840.html
40525|40500|03|25|Interrupteurs|http://www.directindustry.fr/fabricant-industriel/interrupteur-61428.html
40526|40500|03|26|Relais de commutation|http://www.directindustry.fr/fabricant-industriel/relais-commutation-133400.html
40527|40500|03|27|Dalles tactiles|http://www.directindustry.fr/fabricant-industriel/dalle-tactile-97359.html
40528|40500|03|28|Modules de mémoires|http://www.directindustry.fr/fabricant-industriel/module-memoire-77503.html
40529|40500|03|29|Puces mémoires|http://www.directindustry.fr/fabricant-industriel/puce-memoire-77332.html
40530|40500|03|30|Modules d'horloges|http://www.directindustry.fr/fabricant-industriel/module-horloge-224546.html
40531|40500|03|31|Processeurs et Contrôleurs (MPU, MCU, DSP)|http://www.directindustry.fr/cat/composants-electroniques/processeurs-controleurs-mpu-mcu-dsp-AA-460.html
40532|40500|03|32|Émetteurs-récepteurs|http://www.directindustry.fr/fabricant-industriel/emetteur-recepteur-78750.html
